lat,lon,T_CRU_20100131
-14.5,127.5,29.4002
53.5,63.5,-13.75
76.5,-49.5,-27.1746
-32.5,121.5,23.225
55.5,111.5,-31.1497
41.5,-112.5,-1.75
51.5,-73.5,-24.17483
-83.5,-76.5,
73.5,-100.5,-29.85
48.5,50.5,-10.7002
-80.5,-80.5,
62.5,136.5,-38.65
42.5,-104.5,-2.5248
64.5,-150.5,-20.8247
-88.5,61.5,
-81.5,92.5,
73.5,-41.5,-25.8499
38.5,48.5,-0.025
70.5,27.5,-11.7752
-73.5,-8.5,
-80.5,94.5,
52.5,112.5,-26.625
47.5,45.5,-6.475
-30.5,131.5,25.4498
33.5,90.5,-14.725
21.5,27.5,17.525
-87.5,-120.5,
61.5,10.5,-9.075
-80.5,31.5,
25.5,0.5,13.825
26.5,17.5,14.3499
58.5,80.5,-20.224607
50.5,98.5,-28.8249
33.5,54.5,4.95
42.5,-89.5,-11.4496
54.5,96.5,-24.3503
14.5,35.5,26.9502
43.5,70.5,-2.575
-86.5,-0.5,
66.5,-38.5,-9.925
-76.5,27.5,
63.5,-106.5,-26.6753
-85.5,172.5,
52.5,84.5,-14.2751
-76.5,101.5,
69.5,27.5,-11.35019
64.5,131.5,-43.5
62.5,-149.5,-16.3996
62.5,148.5,-36.025
23.5,-8.5,17
73.5,55.5,-25.2754
-78.5,113.5,
59.5,-70.5,-23.4751
10.5,2.5,26.7747
21.5,-13.5,18.9252
-81.5,60.5,
25.5,-105.5,11.5501
20.5,83.5,21.5254
24.5,67.5,20.7751
-73.5,144.5,
46.5,-102.5,-10.85
-76.5,-105.5,
-76.5,-17.5,
67.5,134.5,-44.325
-16.5,-46.5,25.12473
46.5,127.5,-19.4501
-85.5,-73.5,
13.5,7.5,23.3754
57.5,61.5,-14.5749
-78.5,-119.5,
13.5,-88.5,26.450017
-74.5,-84.5,
-19.5,125.5,31.2499
-73.5,11.5,
3.5,-60.5,27.35021
61.5,137.5,-39.8
-10.5,-56.5,24.94973
-86.5,-153.5,
-8.5,22.5,24.07465
-83.5,174.5,
35.5,108.5,-2.975
60.5,68.5,-20.274812
36.5,109.5,-4.675
11.5,-6.5,24.0498
46.5,137.5,-12.1502
-27.5,139.5,30.2502
60.5,5.5,1.925
30.5,-7.5,5.8
-84.5,-20.5,
44.5,106.5,-14.0754
41.5,-118.5,-0.7
-81.5,-32.5,
63.5,150.5,-37.85
63.5,176.5,-26.15
-86.5,-63.5,
-86.5,156.5,
-24.5,-63.5,27.4745
49.5,2.5,1.9
55.5,93.5,-18.900287
53.5,-85.5,-24.2504
16.5,22.5,21.3501
56.5,-65.5,-22.7245
53.5,88.5,-19.79973
-77.5,-5.5,
55.5,56.5,-12.9748
-84.5,163.5,
-80.5,148.5,
67.5,-149.5,-27.475
-78.5,-100.5,
-74.5,-129.5,
66.5,39.5,-12.44995
7.5,-71.5,24.6499
-15.5,-45.5,25.0501
49.5,23.5,-3.1255
-8.5,-35.5,26.4499
58.5,24.5,-2.425
39.5,67.5,-0.8247
4.5,6.5,27.55002
-66.5,111.5,
-81.5,-106.5,
-84.5,-133.5,
63.5,175.5,-26.4502
33.5,57.5,4.475
42.5,87.5,-9.3746
54.5,126.5,-28.2002
-89.5,-87.5,
-88.5,26.5,
-81.5,84.5,
50.5,-114.5,-9.49992
27.5,119.5,5.025
48.5,-67.5,-16.6002
-24.5,134.5,30.3247
-30.5,133.5,26.9748
15.5,16.5,24.0755
70.5,158.5,-35.975
-87.5,179.5,
75.5,143.5,-40.6
70.5,118.5,-33.35
-24.5,-70.5,16.2337
-4.5,143.5,26.87545
-74.5,117.5,
-85.5,-86.5,
-69.5,151.5,
69.5,19.5,-8.425
64.5,48.5,-16.79996
62.5,10.5,-7.475
46.5,9.5,-5.625
54.5,-59.5,-17.6
-27.5,-55.5,25.6497
53.5,81.5,-15.4999
2.5,-72.5,26.55045
65.5,144.5,-44.725
9.5,16.5,26.6496
56.5,-109.5,-19.75041
47.5,-66.5,-15.6998
-8.5,113.5,26.06623
-30.5,148.5,28.6249
-18.5,27.5,26.0995
69.5,-24.5,-9.8
-86.5,-130.5,
-40.5,-69.5,18.325
-67.5,142.5,
22.5,12.5,15.4
2.5,43.5,28.20011
11.5,21.5,26.625
-79.5,127.5,
18.5,79.5,24.6754
22.5,72.5,22.0752
6.5,15.5,23.97534
-30.5,-57.5,26.4997
-77.5,-89.5,
-83.5,-21.5,
80.5,-40.5,-34.325
64.5,-106.5,-27.2002
-86.5,137.5,
-14.5,-49.5,26.1500627
10.5,10.5,24.9752
52.5,-69.5,-23.8248
10.5,35.5,22.8502
-89.5,-40.5,
65.5,-102.5,-29.2
69.5,-38.5,-19.4504
60.5,81.5,-20.9003
